역명,주소,위도,경도
강남구청역,서울특별시 강남구 학동로 지하346(삼성동),37.5184656,127.0406405
학동역,서울특별시 강남구 학동로 지하180(논현동),37.5153474,127.0298909
논현역,서울특별시 강남구 학동로 지하102(논현동),37.5093193,127.0219091
반포역,서울특별시 서초구 신반포로 지하241(잠원동),37.5085073,127.0115227
고속터미널역,서울특별시 서초구 신반포로 지하188(반포동),37.5050827,127.0049777
내방역,서울특별시 서초구 서초대로 지하103(방배동),37.486623,126.9940948
이수역,서울특별시 동작구 사당로 지하310(사당동),37.4857905,126.9847839
남성역,서울특별시 동작구 사당로 지하218(사당동),37.48492,126.97071
숭실대입구역,서울특별시 동작구 상도로 지하378(상도동),37.49645,126.9537
상도역,서울특별시 동작구 상도로 지하272(상도1동),37.5035816,126.9481742
장승배기역,서울특별시 동작구 상도로 지하188(상도동) ,37.50466,126.93849
신대방삼거리역,서울특별시 동작구 상도로 지하76(대방동),37.4996027,126.9293039
보라매역,서울특별시 동작구 상도로 지하2(대방동),37.49894,126.92015
신풍역,서울특별시 영등포구 신풍로 지하27(신길동),37.5001811,126.9068472
대림역,서울특별시 영등포구 도림로 지하137(대림동),37.49122,126.89398
남구로역,서울특별시 구로구 도림로 지하7(구로동) ,37.48538,126.88653
가산디지털단지역,서울특별시 금천구 벚꽃로 309(가산동),37.48105,126.88325
철산역,경기도 광명시 철산로 지하13(철산동),37.47603,126.86711
광명사거리역,경기도 광명시 오리로 지하980(광명동),37.48004,126.85455
천왕역,서울특별시 구로구 오리로 지하1154(천왕동),37.4863349,126.8385503
온수역,서울특별시 구로구 경인로3길 지하64(온수동),37.4924499,126.82405894754564
암사역,서울특별시 강동구 올림픽로 지하776(암사동),37.5498682,127.1275384
천호역,서울특별시 강동구 천호대로 지하997(천호동),37.53595,127.12271
강동구청역,서울특별시 강동구 올림픽로 지하550(성내동),37.5304492,127.1204329
몽촌토성역,서울특별시 송파구 올림픽로 지하383(신천동),37.5185895,127.1131442
잠실역,서울특별시 송파구 올림픽로 305(신천동),37.5132392,127.1001779
석촌역,서울특별시 송파구 송파대로 지하439(석촌동),37.5037726,127.1084241
송파역,서울특별시 송파구 송파대로 지하354(가락동),37.5002999,127.1117174
가락시장역,서울특별시 송파구 송파대로 지하257(가락동),37.4925951,127.1188491
문정역,서울특별시 송파구 송파대로 지하179(문정동),37.48758,127.12189
장지역,서울특별시 송파구 송파대로 지하82(장지동),37.47741,127.12644
복정역,서울특별시 송파구 송파대로 지하6(장지동),37.47005,127.1257
남위례역,경기도 성남시 수정구 공원로 601(복정동),37.4627715,127.1392162
산성역,경기도 성남시 수정구 수정로 지하365(신흥동),35.4404966,127.36264463613658
남한산성입구역,경기도 성남시 수정구 산성대로 지하445(단대동),37.452347,127.1599778
단대오거리역,경기도 성남시 수정구 산성대로 지하365(신흥동),37.4443043,127.1560133
신흥역,경기도 성남시 수정구 산성대로 지하280(신흥동),40.2003962,127.548942
수진역,경기도 성남시 수정구 산성대로 지하200(수진동),40.2592176,124.622021
모란역,경기도 성남시 수정구 산성대로 지하100(수진동),37.4313656,127.1290301
언주역,서울특별시 강남구 봉은사로 지하201(논현동),37.5071358,127.0329281
선정릉역,서울특별시 강남구 선릉로 지하580(삼성동),37.5105604,127.0445508
삼성중앙역,서울특별시 강남구 봉은사로 지하501(삼성동),37.5127735,127.0527672
봉은사역,서울특별시 강남구 봉은사로 지하601(삼성동),37.5141958,127.060164
종합운동장역,서울특별시 송파구 올림픽로 49(잠실동),35.1909453,129.066628
삼전역,서울특별시 송파구 백제고분로 지하189(잠실동),37.5038909,127.0888735
석촌고분역,서울특별시 송파구 백제고분로 지하274(삼전동),37.502651,127.0968121
석촌역,서울특별시 송파구 송파대로 지하439(석촌동),37.5037726,127.1084241
송파나루역,서울특별시 송파구 백제고분로 지하446(방이동),37.51067,127.11162
한성백제역,서울특별시 송파구 위례성대로 지하29(방이동),37.5166755,127.1164457
올림픽공원역,서울특별시 송파구 양재대로 지하1233(방이동),37.5163484,127.1313146
둔촌오륜역,서울특별시 강동구 강동대로 지하303(둔촌동),37.5196824,127.1387892
중앙보훈병원역,서울특별시 강동구 동남로 지하625(둔촌동),37.528931,127.1488118
